customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_a,internet_service,internet_service_a,contract_type,contract_type_a,payment_type,monthly_charges,total_charges,churn,is_female,has_churned,has_phone,has_internet,has_phone_has_internet,partner_dependents,tenure,start_date,avg_monthly_charges
0002-ORFBO,Female,0,Yes,Yes,1,One Line,1,DSL,1,1 Year,Mailed check,65.6,593.3,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,9,20201109,65.6
0003-MKNFE,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Mailed check,59.9,542.4,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,9,20201109,59.9
0004-TLHLJ,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,73.9,280.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,4,20210418,73.9
0011-IGKFF,Male,1,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,98,1237.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,13,20200723,98
0013-EXCHZ,Female,1,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Mailed check,83.9,267.4,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,3,20210507,83.9
0013-MHZWF,Female,0,No,Yes,1,One Line,1,DSL,0,Month-to-Month,Credit card (automatic),69.4,571.45,No,TRUE,FALSE,TRUE,TRUE,TRUE,2,8,20201204,69.4
0013-SMEOE,Female,1,Yes,No,1,One Line,2,Fiber Optic,2,2 Year,Bank transfer (automatic),109.7,7904.25,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,72,20150812,109.7
0014-BMAQU,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),84.65,5377.8,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,64,20160427,84.65
0015-UOCOJ,Female,1,No,No,1,One Line,1,DSL,0,Month-to-Month,Electronic check,48.2,340.35,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,7,20210109,48.2
0016-QLJIS,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Mailed check,90.45,5957.9,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,66,20160216,90.45
0017-DINOC,Male,0,No,No,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),45.2,2460.55,No,FALSE,FALSE,FALSE,TRUE,FALSE,0,54,20170129,45.2
0017-IUDMW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),116.8,8456.75,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,72,20150801,116.8
0018-NYROU,Female,0,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,68.95,351.5,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,5,20210309,68.95
0019-EFAEP,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Bank transfer (automatic),101.3,7261.25,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,72,20150823,101.3
0019-GFNTW,Female,0,No,No,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),45.05,2560.1,No,TRUE,FALSE,FALSE,TRUE,FALSE,0,57,20161117,45.05
0020-INWCK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),95.75,6849.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,72,20150828,95.75
0020-JDNXP,Female,0,Yes,Yes,0,No Phone Service,1,DSL,1,1 Year,Mailed check,61.25,1993.2,No,TRUE,FALSE,FALSE,TRUE,FALSE,3,33,20181126,61.25
0021-IKXGC,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,72.1,72.1,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,20210712,72.1
0022-TCJCI,Male,1,No,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),62.7,2791.5,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,45,20171126,62.7
0023-HGHWL,Male,1,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,25.1,25.1,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,20210712,25.1
0023-UYUPN,Female,1,Yes,No,2,Two or More Lines,0,No Internet Service,1,1 Year,Electronic check,25.2,1306.3,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,52,20170418,25.2
0023-XUOPT,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,94.1,1215.6,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,13,20200715,94.1
0027-KWYKW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,83.75,1849.95,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,22,20191010,83.75
0030-FNXPP,Female,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,19.85,57.2,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,3,20210516,19.85
0031-PVLZI,Female,0,Yes,Yes,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,20.35,76.35,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,3,4,20210419,20.35
